outlet_id,Outlet,City,Phone_no,Link,Address,Address_link,num_employee
23,KOSAMBA, SURAT,7220041041,https://www.facebook.com/AjaysKosamba,"Shop No. 29, Shraddha Plaza, Tarsadi Road, Near Ambedkar Chowk, Kosamba, Gujarat -394120",https://g.page/AjaysKosamba?share,10
24,BILIMORA, NAVSARI,9998253164,https://www.facebook.com/ajaysbl,"1585, Opp. Labdhi Jewellers, Gohar Baug, Station Road, Bilimora, Gujarat 396321",https://g.page/AjaysBilimora?share,11
25,JAMPORE BEACH, DAMAN,9898756336,https://www.facebook.com/AjaysDamanJamporeBeach,"Jampore Beach, Near Hotel Chinatown, Moti Daman, UT of Diu and Daman 396220",https://goo.gl/maps/1VvE7Qjj3QSR8sed9,12
26,KAMREJ, SURAT,7373739846,https://www.facebook.com/AjaysKamrejCharRasta,"Shop No. 2, Gulabbhai Compound, Kamrej Char Rasta, Near Police Chowki, Kamrej, Gujarat 394185",https://g.page/AjaysKamrejCharRasta?share,8
27,CHALA, VAPI,9998046563,https://www.facebook.com/AjaysVapiChala,"Shop No. 6, Royal Dreams, Vapi-Daman Main road, Chala, Vapi, Gujarat 396191",https://goo.gl/maps/V2qH3qncmAkVUbKf9,11
28,BARDOLI, SURAT,9904651429,https://www.facebook.com/ajaysbardoli,"Shop No 5, Jalaram Shopping Centre, Opposite Jalaram Mandir, Station Road, Bardoli 394601",https://g.page/AjaysBardoli?share,12
29,SAPUTARA, DANG,7574978096,https://www.facebook.com/AjaysSaputara,"D-9, Shopping Center,  Near Lake View, Saputara-Nashik Road, Saputara, Gujarat 394720",https://g.page/AjaysSaputara?share,8
30,NH48 - DHOLAPIPLA, NAVSARI,6353534843,https://www.facebook.com/AjaysDholapiplaNavsari,"Shop No.2, Near Hare Krishna Petrol Pump, Dholapipla, NH48, Amadpore, Navsari, Gujarat 396445",https://g.page/AjaysDholapipla?share,9
31,JADESHWAR, BHARUCH,98791 60284 / 9825587741,https://www.facebook.com/AjaysZadeshwarBharuch,"Shop No. 2, Shreeji Darshan Complex -2, Near Chamunda Mata Mandir, Zadeshwar Road, Bharuch, Gujarat 392011",https://g.page/ajayszadeshwar?share,10
32,SILVASA, DADRA AND NAGAR HAVELI,9327109922,https://www.facebook.com/AjaysSilvassa,"Shop No. 1 Jalaram Complex, Dokmardi Road, Near Yogi Hospital, Silvassa 396230",https://goo.gl/maps/8wZutTda2Ugh8fPq8,12
